ShotMarker Archived Data (generated Sep 21 2026)
Exported 6 strings from Sep 12 of 145 total in archive

Sep 12 2026,M6 R1 TT11,#220 (),1887 x 1908,NRA Long Range FC at 1000y,134-3X,142-4X,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,12:22.29 pm,incomplete,8,9,25,168,3,1879,2.1,-2.1,,0,"sim_t(25,3619,2859,877,1520,2742,2859,0,706);"
,12:23.01 pm,incomplete,R9,9,25,199,-44,1807,0.7,-1.8,,0,"sim_t(25,3875,3975,1104,872,2979,3975,177,0);"
,12:23.28 pm,incomplete,9,8,25,-344,40,1880,1.4,-2.8,,0,"sim_t(25,1362,0,5762,7126,524,0,4882,6312);"
,12:24.00 pm,incomplete,R10,8,25,-265,55,1749,4.2,-4.5,,0,"sim_t(25,3154,0,6227,8302,2249,0,5308,7486);"
,12:24.27 pm,incomplete,10,8,25,-333,29,1829,3,-3.4,,0,"sim_t(25,1378,0,5979,7372,511,0,5094,6567);"
,12:24.54 pm,incomplete,R11,7,25,-466,79,1735,3.6,-3.1,,0,"sim_t(25,3182,0,8978,10875,2265,0,8062,10022);"
,12:25.43 pm,incomplete,11,8,25,-332,-55,1819,2.1,-4.5,,0,"sim_t(25,848,921,6190,6779,0,921,5270,5966);"
,12:26.20 pm,incomplete,R12,8,25,349,61,1791,1.5,-2.2,,0,"sim_t(25,7518,5990,934,2767,6606,5990,0,1903);"
,12:26.49 pm,incomplete,12,9,25,-91,-112,1875,2.3,-2.6,,0,"sim_t(25,869,1900,4063,3078,0,1900,3184,2273);"
,12:27.18 pm,incomplete,R13,9,25,-172,0,1759,2,-3.3,,0,"sim_t(25,1296,0,3535,4537,390,0,2593,3676);"
,12:27.42 pm,incomplete,13,10,25,-65,53,1887,1.9,-2.5,,0,"sim_t(25,961,0,984,2534,105,0,112,1729);"
,12:28.11 pm,incomplete,R14,9,25,145,76,1790,0.6,-1.9,,0,"sim_t(25,4805,3111,935,2810,3906,3111,0,1930);"
,12:28.46 pm,incomplete,14,10,25,-80,83,1905,0.9,-2.1,,0,"sim_t(25,1289,690,874,2784,449,690,0,1967);"
,12:29.16 pm,incomplete,R15,7,25,-361,-145,1725,2.8,-3.3,,0,"sim_t(25,929,2170,8469,7617,0,2170,7522,6746);"
,12:30.16 pm,incomplete,15,10,26,119,3,1884,1.1,-2.1,,0,"sim_t(26,3186,2371,888,1568,2329,2371,0,745);"

Sep 12 2026,M3 R2 TT11,#220 (),1887 x 1908,NRA Long Range FC at 1000y,194-3X,
,time,tags,id,score,temp C,x mm,y mm,v fps,yaw deg, pitch deg,quality,xy_err
,11:25.02 am,sighter/incomplete,S1,9,25,223,14,1896,1.9,-2.3,,0,"sim_t(25,4849,3943,878,1807,3986,3943,0,1002);"
,11:25.42 am,sighter/incomplete,S2,X,26,19,-35,1892,1.2,-2.2,,0,"sim_t(26,919,734,882,953,66,734,0,136);"
,11:26.03 am,incomplete,1,10,26,95,-22,1872,1.9,-2.1,,0,"sim_t(26,2101,1710,881,1104,1225,1710,0,285);"
,11:26.21 am,incomplete,2,9,26,96,153,1912,1.3,-1.9,,0,"sim_t(26,5125,2133,864,4038,4277,2133,0,3226);"
,11:26.44 am,incomplete,3,10,26,50,98,1849,2.3,-2.3,,0,"sim_t(26,3285,793,884,3191,2401,793,0,2370);"
,11:27.07 am,incomplete,4,10,26,85,-22,1903,0.9,-2,,0,"sim_t(26,2223,1896,879,1081,1375,1896,0,262);"
,11:27.26 am,incomplete,5,10,26,33,91,1878,1.2,-2.6,,0,"sim_t(26,3330,930,891,3158,2480,930,0,2341);"
,11:27.58 am,incomplete,6,7,26,-418,14,1873,1.7,-1.3,,0,"sim_t(26,868,29885,7312,7869,0,29885,6449,7036);"
,11:29.28 am,incomplete,7,9,25,83,123,1819,2.5,-1.4,,0,"sim_t(25,3830,1353,884,3323,2915,1353,0,2473);"
,11:29.55 am,incomplete,8,X,25,24,61,1917,0.7,-1.3,,0,"sim_t(25,2456,972,864,2262,1610,972,0,1435);"
,11:30.15 am,incomplete,9,10,25,67,60,1891,1.7,-2.2,,0,"sim_t(25,3113,1434,874,2532,2254,1434,0,1721);"
,11:30.32 am,incomplete,10,10,25,-80,20,1883,1.9,-3,,0,"sim_t(25,849,27620,1463,2646,0,27620,581,1846);"
,11:30.53 am,incomplete,11,10,25,-123,18,1876,2,-3.3,,0,"sim_t(25,1444,0,2704,3947,598,0,1817,3149);"
